test_id,timestamp,n_points,n_observations,lengthscale,variance,jitter,mcmc_samples,mcmc_burn,mcmc_scale,mcmc_seed,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,bayesian_covariance,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance,gp_mse,gp_mae,gp_rmse,gp_correlation,gp_covariance,spatial_mse,spatial_mae,spatial_rmse,spatial_correlation,spatial_covariance,mse_diff,mae_diff,correlation_diff,better_model_mse,better_model_mae,bayesian_better_count,dirichlet_better_count,gp_better_count,spatial_better_count,equal_count,wilcoxon_pvalue,test_duration_seconds
test_0036_20251113_230336,2025-11-13 23:03:36,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,2.798015399969356e-06,0.0012584329702828,0.0016727269352674,0.6161554646483351,2.253275880382137e-06,4.039465262085509e-06,0.0015785142990967,0.0020098420987942,0.6321743588301733,3.063002077745198e-06,5.678619577804238e-06,0.001870400861079,0.0023829854338212,0.6321743588244341,3.657224480813783e-06,4.911897654368479e-06,0.0017189604022646,0.0022162801389644,0.655824154362309,3.6222949426331695e-06,-1.2414498621161531e-06,-0.0003200813288139,-0.0160188941818381,Bayesian,Bayesian,104,46,17,27,0,0.0061929466707303,3.659287
test_0037_20251113_230340,2025-11-13 23:03:40,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,1.973615127837782e-06,0.0011098660993193,0.0014048541304483,0.7004086119132634,2.2999654116381178e-06,4.019352669487693e-06,0.0015929466383158,0.0020048323295197,0.6281697128106046,3.018594314312934e-06,5.629479513907154e-06,0.0018719809769568,0.0023726524216385,0.6281697128098637,3.604201611261439e-06,4.932124378571952e-06,0.0017452360950094,0.0022208386655882,0.6503918374267812,3.5781772336441247e-06,-2.045737541649911e-06,-0.0004830805389964,0.0722388991026588,Bayesian,Bayesian,116,37,20,21,0,1.909155399911416e-06,3.608348
test_0038_20251113_230343,2025-11-13 23:03:43,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,2.341205329010136e-06,0.0011956043149792,0.0015300997774688,0.6094206966327312,1.7343935702110995e-06,4.22008759349517e-06,0.00162151646011,0.0020542851782299,0.546346397038562,2.4161580966272087e-06,5.638001232675433e-06,0.001867391172584,0.002374447563682,0.5463463970761986,2.884892767204247e-06,4.8592867182663644e-06,0.0017134396592114,0.0022043789869862,0.5729951977448208,2.863420197036348e-06,-1.8788822644850343e-06,-0.0004259121451307,0.0630742995941692,Bayesian,Bayesian,118,37,19,20,0,1.230974662133124e-05,3.332253
test_0039_20251113_230347,2025-11-13 23:03:47,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,1.893522790945305e-06,0.0011368129483209,0.0013760533386992,0.710037167151529,2.3032384003518187e-06,3.369025969119861e-06,0.0014556156671952,0.0018354906616814,0.6386429621223487,2.8039152107541527e-06,4.603408193470272e-06,0.0016914020593087,0.0021455554510359,0.6386429620935522,3.347874761098512e-06,3.760847848998585e-06,0.0015086726496157,0.0019392905530112,0.6740967360906187,3.325716755087499e-06,-1.475503178174556e-06,-0.0003188027188742,0.0713942050291802,Bayesian,Bayesian,102,41,19,32,0,0.0015227570980537,3.445038
test_0040_20251113_230350,2025-11-13 23:03:50,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,2.14628300508935e-06,0.0010982075768137,0.001465019796825,0.6957065304982916,2.4660871566820512e-06,3.6647475568788686e-06,0.0015074099172298,0.0019143530387258,0.6925916662354081,3.458493128200236e-06,5.326684024629516e-06,0.0018245395675234,0.0023079610102056,0.6925916662420095,4.129440795149718e-06,4.616497346757123e-06,0.0017079948128984,0.0021486035806442,0.7134222202060815,4.077727659476298e-06,-1.5184645517895188e-06,-0.000409202340416,0.0031148642628834,Bayesian,Bayesian,109,49,11,25,0,0.0001099170739614,2.899885
test_0041_20251113_230354,2025-11-13 23:03:54,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,1.630404622526954e-06,0.0010038989204627,0.0012768729860588,0.7495336697780154,2.4129378721276406e-06,3.62972076470988e-06,0.0014974719080693,0.0019051826066573,0.6650559252383862,3.1780755658526813e-06,5.147508600825282e-06,0.0018030236756292,0.0022688121563552,0.665055925232061,3.7946222255373993e-06,4.63220208429654e-06,0.0016695297420927,0.002152255115988,0.6809985129099966,3.760166223412468e-06,-1.999316142182926e-06,-0.0004935729876065,0.0844777445396292,Bayesian,Bayesian,112,48,14,20,0,3.240494256394745e-07,3.462107
test_0042_20251113_230357,2025-11-13 23:03:57,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,2.1709509898806136e-06,0.0012159899807528,0.0014734147379066,0.6933112688269015,2.466208779329388e-06,3.864950543596072e-06,0.0015418731489666,0.0019659477469139,0.6215757628661339,2.8926683671644235e-06,5.351321030508793e-06,0.0018059859484531,0.0023132922492648,0.6215757628733835,3.453846030430541e-06,4.732088824986905e-06,0.0016693636377896,0.002175336485463,0.6419110006359129,3.4261026609289305e-06,-1.693999553715458e-06,-0.0003258831682138,0.0717355059607676,Bayesian,Bayesian,108,40,17,29,0,0.000777751118737,3.465371
test_0043_20251113_230400,2025-11-13 23:04:00,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,2.2096167481502943e-06,0.0011282097581366,0.0014864779675966,0.6710973491174594,2.258769383418044e-06,3.867787334608334e-06,0.0015661712723602,0.0019666690963678,0.6087353147368548,2.782210292672092e-06,5.304456903046393e-06,0.0018288946657265,0.0023031406607166,0.6087353147100283,3.321959089293182e-06,4.630168352717676e-06,0.0016729615806003,0.0021517825988509,0.6335352597060423,3.31119189550791e-06,-1.6581705864580393e-06,-0.0004379615142235,0.0623620343806046,Bayesian,Bayesian,109,40,15,30,0,1.879012379839284e-05,2.660277
test_0044_20251113_230403,2025-11-13 23:04:03,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,2.1169888096339607e-06,0.0011769681823197,0.0014549875633949,0.6629602051956957,2.0356595599965497e-06,3.745471691010384e-06,0.0014438377823597,0.0019353221155689,0.594684640695223,2.6074482798389405e-06,5.049534302901393e-06,0.0016972222914813,0.002247116886791,0.5946846406890154,3.1132932462451463e-06,4.554254998481593e-06,0.0016123879012852,0.0021340700547267,0.6138164078501379,3.1056662098923648e-06,-1.628482881376423e-06,-0.0002668696000399,0.0682755645004726,Bayesian,Bayesian,99,51,18,26,0,0.0372029533815579,2.81662
test_0045_20251113_230406,2025-11-13 23:04:06,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,2.031706817798292e-06,0.0011460631570186,0.0014253795346497,0.6710775590113173,1.99615225264201e-06,3.477954004572891e-06,0.0014671329464111,0.0018649273456552,0.6166284210210483,2.6655775432081405e-06,4.69494230591078e-06,0.0016760691268531,0.0021667815547282,0.6166284210110321,3.1826995866928594e-06,4.126917401946909e-06,0.0015584387627547,0.0020314815780476,0.6409791083283918,3.1796251783088147e-06,-1.4462471867745994e-06,-0.0003210697893924,0.0544491379902689,Bayesian,Bayesian,100,36,23,35,0,0.0033456550750584,2.977695
test_0046_20251113_230410,2025-11-13 23:04:10,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,2.069042775160984e-06,0.0011371240997551,0.0014384167598999,0.7401425214735651,2.8991644664214897e-06,3.53255708679616e-06,0.0014716771638312,0.0018795097996009,0.6892604054482557,3.361382330919288e-06,5.0934717186529495e-06,0.0017683642540086,0.002256872109503,0.6892604054518806,4.013490503067107e-06,4.575607729525037e-06,0.0016553506770064,0.0021390670231493,0.7047443662290587,3.973594415684449e-06,-1.463514311635176e-06,-0.0003345530640761,0.0508821160253093,Bayesian,Bayesian,111,50,11,22,0,0.0007705905481868,3.336746
